PICKER_ID,THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT,PICKCAR_ID
44498,167054831,721,MZN2,8,5,2,R,1,4167417571
44498,167061327,722,MZN2,8,7,2,L,1,4167417571
44498,167057878,723,MZN2,8,8,1,L,1,4167417571
43735,167055936,724,MZN2,8,13,1,R,1,4167417608
43735,167066672,725,MZN2,8,14,2,R,1,4167417608
43735,167055992,726,MZN2,8,17,1,L,1,4167417608
43735,167055870,727,MZN2,8,18,2,L,1,4167417608
43735,167067987,728,MZN2,8,18,2,R,1,4167417608
43735,167055948,729,MZN2,8,19,1,R,1,4167417608
43937,167067773,730,MZN2,9,3,2,L,1,4167417614
43937,167067773,730,MZN2,9,3,2,L,1,4167417614
44498,167056188,732,MZN2,9,4,1,L,1,4167417571
44498,167056188,731,MZN2,9,4,1,L,1,4167417571
44498,167061249,733,MZN2,9,6,1,L,1,4167417571
44498,167070156,734,MZN2,9,6,2,R,1,4167417571
44498,167061335,735,MZN2,9,7,1,R,1,4167417571
44498,167061879,736,MZN2,9,9,2,L,1,4167417571
44498,167061879,736,MZN2,9,9,2,L,1,4167417571
44498,167045302,737,MZN2,9,11,1,L,1,4167417571
44498,567231664,738,MZN2,9,12,2,R,2,4167417571
44498,567231664,738,MZN2,9,12,2,R,1,4167417571
44498,567231664,738,MZN2,9,12,2,R,1,4167417571
44498,567231664,738,MZN2,9,12,2,R,1,4167417571
44498,167070223,740,MZN2,9,16,1,R,1,4167417571
44498,167070223,740,MZN2,9,16,1,R,1,4167417571
44498,167070223,739,MZN2,9,16,1,R,1,4167417571
44498,167066868,741,MZN2,9,17,1,L,1,4167417571
44498,167070225,641,MZN2,9,18,1,L,1,4167417571
44498,567184400,742,MZN2,9,18,1,R,1,4167417571
44498,167056193,743,MZN2,9,18,2,L,1,4167417571
44498,567306610,744,MZN2,9,18,2,R,1,4167417571
44498,567306610,744,MZN2,9,18,2,R,1,4167417571
44498,167056197,745,MZN2,10,2,2,R,1,4167417571
44498,167056197,745,MZN2,10,2,2,R,1,4167417571
44498,167056197,745,MZN2,10,2,2,R,1,4167417571
44498,167067718,746,MZN2,10,3,2,R,1,4167417571
44498,167067718,746,MZN2,10,3,2,R,1,4167417571
44498,167067718,746,MZN2,10,3,2,R,1,4167417571
44498,167063655,747,MZN2,10,6,2,L,1,4167417571
44498,167063655,748,MZN2,10,6,2,L,1,4167417571
44498,4197224496,749,MZN2,10,13,1,L,1,4167417571
43937,167069731,750,MZN2,10,14,2,L,1,4167417543
44498,167057688,751,MZN2,10,16,1,L,1,4167417571
44498,167048235,752,MZN2,10,16,2,L,1,4167417571
44498,4197205967,753,MZN2,10,17,1,L,1,4167417571
44506,167070098,754,MZN2,10,18,2,L,1,4167417607
43735,167066955,755,MZN2,11,7,2,R,2,4167417598
43735,167066955,755,MZN2,11,7,2,R,2,4167417598
43735,167066955,755,MZN2,11,7,2,R,1,4167417598
43735,167067716,757,MZN2,11,7,2,R,1,4167417598
43735,167067716,756,MZN2,11,7,2,R,1,4167417598
43735,167067716,757,MZN2,11,7,2,R,1,4167417598
43735,167046943,758,MZN2,11,8,2,R,1,4167417598
43735,167046943,758,MZN2,11,8,2,R,2,4167417598
43735,567177878,759,MZN2,11,11,2,L,1,4167417598
43735,167039155,760,MZN2,11,12,1,R,1,4167417598
43735,167039155,761,MZN2,11,12,1,R,1,4167417598
43735,167047181,762,MZN2,11,12,1,R,2,4167417598
43735,167047181,762,MZN2,11,12,1,R,1,4167417598
43735,167069732,763,MZN2,11,12,1,R,1,4167417598
43735,167045305,711,MZN2,11,13,1,R,1,4167417598
43735,167039096,764,MZN2,11,13,2,R,1,4167417598
43735,167061274,765,MZN2,11,13,2,R,1,4167417598
43735,167061274,765,MZN2,11,13,2,R,2,4167417598
43735,167054677,767,MZN2,11,14,1,L,2,4167417598
43735,167054677,767,MZN2,11,14,1,L,1,4167417598
43735,167054677,766,MZN2,11,14,1,L,2,4167417598
43735,167054677,766,MZN2,11,14,1,L,1,4167417598
43735,167054677,766,MZN2,11,14,1,L,2,4167417598
43735,167066608,768,MZN2,11,14,2,L,1,4167417598
43735,167066608,768,MZN2,11,14,2,L,1,4167417598
43735,167070230,769,MZN2,11,14,2,R,1,4167417598
43735,167070344,668,MZN2,11,17,1,R,1,4167417598
43735,167070344,668,MZN2,11,17,1,R,1,4167417598
43735,167070344,770,MZN2,11,17,1,R,2,4167417598
43735,167070344,770,MZN2,11,17,1,R,2,4167417598
43735,167070344,770,MZN2,11,17,1,R,1,4167417598
43735,167070345,672,MZN2,11,17,2,R,1,4167417598
43735,167070345,770,MZN2,11,17,2,R,1,4167417598
43735,167070345,771,MZN2,11,17,2,R,1,4167417598
43735,167070345,772,MZN2,11,17,2,R,1,4167417598
43735,167070345,668,MZN2,11,17,2,R,1,4167417598
44498,167056206,773,MZN2,12,3,2,R,1,4167417571
